paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,age_days,text_for_embedding
10.1145/3637528.3671812,Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,Static benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested.,"['Quang Le', 'Yen Vu']","['Evaluation Methodology', 'Enterprise Systems']",Evaluation Methodology,2026-07-22,2026-07-22,https://doi.org/10.1145/3637528.3671812,https://doi.org/10.1145/3637528.3671812,Crossref record 10.1145/3637528.3671812,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",193,66,"Title: Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Categories: Evaluation Methodology, Enterprise Systems
Published: 2026-07-22
Summary: Static benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested."
10.1145/3637528.3671808,Multi-Agent Consensus for High-Stakes Fact Verification,A single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations.,"['Phong Vu', 'Ngan Hoang']","['Multi-Agent Systems', 'Artificial Intelligence']",Multi-Agent Systems,2026-07-19,2026-07-19,https://doi.org/10.1145/3637528.3671808,https://doi.org/10.1145/3637528.3671808,Crossref record 10.1145/3637528.3671808,"Phong Vu, Ngan Hoang","Multi-Agent Systems, Artificial Intelligence",203,69,"Title: Multi-Agent Consensus for High-Stakes Fact Verification
Authors: Phong Vu, Ngan Hoang
Categories: Multi-Agent Systems, Artificial Intelligence
Published: 2026-07-19
Summary: A single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations."
10.1145/3637528.3671804,Freshness SLAs for Real-Time LLM Knowledge Augmentation,"We define freshness service-level agreements (SLAs) for temporal document ingestion. By tracking document age and update cadence, our orchestrator dynamically prioritizes recrawling high-churn technical corpora.","['Bao Do', 'Linh Ngo']","['Data Management', 'Artificial Intelligence']",Data Management,2026-07-05,2026-07-05,https://doi.org/10.1145/3637528.3671804,https://doi.org/10.1145/3637528.3671804,Crossref record 10.1145/3637528.3671804,"Bao Do, Linh Ngo","Data Management, Artificial Intelligence",211,83,"Title: Freshness SLAs for Real-Time LLM Knowledge Augmentation
Authors: Bao Do, Linh Ngo
Categories: Data Management, Artificial Intelligence
Published: 2026-07-05
Summary: We define freshness service-level agreements (SLAs) for temporal document ingestion. By tracking document age and update cadence, our orchestrator dynamically prioritizes recrawling high-churn technical corpora."
10.1145/3637528.3671807,Synthetic Corruption Testing: Stress-Testing Vector Search Robustness,"We introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval.","['Kien Duong', 'Vy Ly']","['Robustness', 'Information Retrieval']",Robustness,2026-06-25,2026-06-25,https://doi.org/10.1145/3637528.3671807,https://doi.org/10.1145/3637528.3671807,Crossref record 10.1145/3637528.3671807,"Kien Duong, Vy Ly","Robustness, Information Retrieval",206,93,"Title: Synthetic Corruption Testing: Stress-Testing Vector Search Robustness
Authors: Kien Duong, Vy Ly
Categories: Robustness, Information Retrieval
Published: 2026-06-25
Summary: We introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval."
10.1145/3637528.3671802,Data Observability and Quality Gates for Production RAG Systems,Silent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving.,"['Anh Tran', 'Quoc Pham']","['Software Engineering', 'Data Systems']",Software Engineering,2026-06-12,2026-06-12,https://doi.org/10.1145/3637528.3671802,https://doi.org/10.1145/3637528.3671802,Crossref record 10.1145/3637528.3671802,"Anh Tran, Quoc Pham","Software Engineering, Data Systems",227,106,"Title: Data Observability and Quality Gates for Production RAG Systems
Authors: Anh Tran, Quoc Pham
Categories: Software Engineering, Data Systems
Published: 2026-06-12
Summary: Silent data corruption in RAG pipelines degrades LLM answer faithfulness without throwing runtime errors. We introduce automated quality gates using Great Expectations 1.x to catch stale and malformed embeddings before serving."
10.1145/3637528.3671824,Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines,An extended empirical study on tatic benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested Further analysis on scaling parameters.,"['Quang Le', 'Yen Vu']","['Evaluation Methodology', 'Enterprise Systems']",Evaluation Methodology,2026-06-12,2026-06-12,https://doi.org/10.1145/3637528.3671824,https://doi.org/10.1145/3637528.3671824,Crossref record 10.1145/3637528.3671824,"Quang Le, Yen Vu","Evaluation Methodology, Enterprise Systems",262,106,"Title: Advanced Perspectives on Continuous Benchmark Evaluation for Enterprise Retrieval Pipelines
Authors: Quang Le, Yen Vu
Categories: Evaluation Methodology, Enterprise Systems
Published: 2026-06-12
Summary: An extended empirical study on tatic benchmarks fail to capture domain drift in enterprise knowledge bases. We establish a synthetic test generator that auto-creates paired evaluation sets whenever new corpora are ingested Further analysis on scaling parameters."
10.1145/3637528.3671823,Advanced Perspectives on Hybrid Search Architectures: Combining BM25 with Dense Representations,An extended empirical study on ense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall Further analysis on scaling parameters.,"['Dat Tran', 'Lan Pham']","['Information Retrieval', 'Algorithms']",Information Retrieval,2026-06-11,2026-06-11,https://doi.org/10.1145/3637528.3671823,https://doi.org/10.1145/3637528.3671823,Crossref record 10.1145/3637528.3671823,"Dat Tran, Lan Pham","Information Retrieval, Algorithms",268,107,"Title: Advanced Perspectives on Hybrid Search Architectures: Combining BM25 with Dense Representations
Authors: Dat Tran, Lan Pham
Categories: Information Retrieval, Algorithms
Published: 2026-06-11
Summary: An extended empirical study on ense vector search excels at conceptual similarity but struggles with exact acronyms and serial numbers. Reciprocal Rank Fusion of sparse lexical scores and dense embeddings achieves optimal recall Further analysis on scaling parameters."
10.1145/3637528.3671822,Advanced Perspectives on Automated Data Quality Profiling with Great Expectations in CI/CD,An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2026-06-10,2026-06-10,https://doi.org/10.1145/3637528.3671822,https://doi.org/10.1145/3637528.3671822,Crossref record 10.1145/3637528.3671822,"Son Nguyen, Thuy Doan","Data Quality, DevOps",272,108,"Title: Advanced Perspectives on Automated Data Quality Profiling with Great Expectations in CI/CD
Authors: Son Nguyen, Thuy Doan
Categories: Data Quality, DevOps
Published: 2026-06-10
Summary: An extended empirical study on mbedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model Further analysis on scaling parameters."
10.1145/3637528.3671821,Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval,An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters.,"['Long Trinh', 'Ha Chu']","['Information Retrieval', 'Natural Language Processing']",Information Retrieval,2026-06-09,2026-06-09,https://doi.org/10.1145/3637528.3671821,https://doi.org/10.1145/3637528.3671821,Crossref record 10.1145/3637528.3671821,"Long Trinh, Ha Chu","Information Retrieval, Natural Language Processing",266,109,"Title: Advanced Perspectives on Chunking Strategies for Technical Documentation Retrieval
Authors: Long Trinh, Ha Chu
Categories: Information Retrieval, Natural Language Processing
Published: 2026-06-09
Summary: An extended empirical study on ierarchical and semantic boundary chunking preserves code block contexts and markdown headings. Our benchmark demonstrates superior top-1 recall compared to fixed character length sliding windows Further analysis on scaling parameters."
10.1145/3637528.3671810,Automated Data Quality Profiling with Great Expectations in CI/CD,Embedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model.,"['Son Nguyen', 'Thuy Doan']","['Data Quality', 'DevOps']",Data Quality,2026-06-08,2026-06-08,https://doi.org/10.1145/3637528.3671810,https://doi.org/10.1145/3637528.3671810,Crossref record 10.1145/3637528.3671810,"Son Nguyen, Thuy Doan","Data Quality, DevOps",203,110,"Title: Automated Data Quality Profiling with Great Expectations in CI/CD
Authors: Son Nguyen, Thuy Doan
Categories: Data Quality, DevOps
Published: 2026-06-08
Summary: Embedding quality checks directly into data pipelines enables fail-closed governance. We show how Great Expectations suites catch schema drifts and null fields before documents reach the embedding model."
10.1145/3637528.3671820,Advanced Perspectives on Multi-Agent Consensus for High-Stakes Fact Verification,An extended empirical study on single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations Further analysis on scaling parameters.,"['Phong Vu', 'Ngan Hoang']","['Multi-Agent Systems', 'Artificial Intelligence']",Multi-Agent Systems,2026-06-08,2026-06-08,https://doi.org/10.1145/3637528.3671820,https://doi.org/10.1145/3637528.3671820,Crossref record 10.1145/3637528.3671820,"Phong Vu, Ngan Hoang","Multi-Agent Systems, Artificial Intelligence",271,110,"Title: Advanced Perspectives on Multi-Agent Consensus for High-Stakes Fact Verification
Authors: Phong Vu, Ngan Hoang
Categories: Multi-Agent Systems, Artificial Intelligence
Published: 2026-06-08
Summary: An extended empirical study on single LLM is susceptible to confirmation bias when evaluating retrieved evidence. We demonstrate a multi-agent debate architecture where specialized verifier agents critique and corroborate citations Further analysis on scaling parameters."
10.1145/3637528.3671819,Advanced Perspectives on Synthetic Corruption Testing: Stress-Testing Vector Search Robustness,"An extended empirical study on e introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval Further analysis on scaling parameters.","['Kien Duong', 'Vy Ly']","['Robustness', 'Information Retrieval']",Robustness,2026-06-07,2026-06-07,https://doi.org/10.1145/3637528.3671819,https://doi.org/10.1145/3637528.3671819,Crossref record 10.1145/3637528.3671819,"Kien Duong, Vy Ly","Robustness, Information Retrieval",275,111,"Title: Advanced Perspectives on Synthetic Corruption Testing: Stress-Testing Vector Search Robustness
Authors: Kien Duong, Vy Ly
Categories: Robustness, Information Retrieval
Published: 2026-06-07
Summary: An extended empirical study on e introduce an automated fuzzing suite that corrupts text chunks by injecting noise, truncating titles, and blanking summaries. Experiments reveal critical failure thresholds for dense embedding retrieval Further analysis on scaling parameters."
10.1145/3637528.3671818,Advanced Perspectives on Semantic Layer Integration for Agentic Text-to-SQL Pipelines,"An extended empirical study on onnecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy Further analysis on scaling parameters.","['Huy Dinh', 'Trang Vo']","['Databases', 'Information Systems']",Databases,2026-06-06,2026-06-06,https://doi.org/10.1145/3637528.3671818,https://doi.org/10.1145/3637528.3671818,Crossref record 10.1145/3637528.3671818,"Huy Dinh, Trang Vo","Databases, Information Systems",275,112,"Title: Advanced Perspectives on Semantic Layer Integration for Agentic Text-to-SQL Pipelines
Authors: Huy Dinh, Trang Vo
Categories: Databases, Information Systems
Published: 2026-06-06
Summary: An extended empirical study on onnecting LLMs directly to raw warehouse tables often results in schema misunderstandings. A governed semantic layer standardizes business metric definitions, dramatically boosting SQL generation accuracy Further analysis on scaling parameters."
10.1145/3637528.3671817,Advanced Perspectives on Evaluating Retrieval Precision with Token F1 and LLM Judges,"An extended empirical study on valuating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions Further analysis on scaling parameters.","['Tuan Phan', 'Mai Bui']","['Natural Language Processing', 'Evaluation Methodology']",Natural Language Processing,2026-06-05,2026-06-05,https://doi.org/10.1145/3637528.3671817,https://doi.org/10.1145/3637528.3671817,Crossref record 10.1145/3637528.3671817,"Tuan Phan, Mai Bui","Natural Language Processing, Evaluation Methodology",275,113,"Title: Advanced Perspectives on Evaluating Retrieval Precision with Token F1 and LLM Judges
Authors: Tuan Phan, Mai Bui
Categories: Natural Language Processing, Evaluation Methodology
Published: 2026-06-05
Summary: An extended empirical study on valuating open-domain QA requires robust metrics. We benchmark semantic similarity, token-level overlap F1, and model-based judge verdicts to quantify RAG answer correctness across noisy corpus conditions Further analysis on scaling parameters."
